Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
9.18,208.7197391,33.71306139,,9.18,240.0113002,38.76737166,,-31.2915611,-5.054310268,,31.69712682,-1.730936327
9.36,276.798057,45.60156017,,9.36,239.8883877,39.52081479,,36.90966938,6.080745389,,37.4072073,1.407516327
9.54,276.6535038,46.47047984,,9.54,236.7040492,39.76002688,,39.94945456,6.710452958,,40.50912365,1.404376327
9.72,276.5062229,47.33894132,,9.72,236.1539951,40.4304829,,40.35222783,6.908458426,,40.93933425,1.401236327
9.9,270.1768351,47.12901926,,9.9,232.9591791,40.63685784,,37.21765599,6.492161423,,37.77965163,1.398096327
10.08,270.0275183,47.97714079,,10.08,231.3378773,41.10295861,,38.68964101,6.874182179,,39.2955812,1.394956327
10.26,269.8755391,48.82478929,,10.26,229.6655204,41.55015558,,40.21001877,7.274633708,,40.86276918,1.391816327
10.44,269.7208991,49.67195639,,10.44,229.5339209,42.2710993,,40.18697823,7.400857097,,40.86276918,1.388676327
10.62,259.15532,48.56802888,,10.62,229.4000583,42.99162624,,29.75526175,5.576402646,,30.27328639,1.385536327
10.8,255.4402657,48.70253927,,10.8,222.1436281,42.35416348,,33.29663759,6.348375796,,33.89642976,1.382396327
10.98,255.2860807,49.5043803,,10.98,222.0095411,43.05148452,,33.27653958,6.45289577,,33.89642976,1.379256327
11.16,247.3855808,48.77883172,,11.16,217.5505972,42.8960489,,29.83498362,5.882782824,,30.40942915,1.376116327
11.34,243.3332885,48.77407845,,11.34,214.3390526,42.96243162,,28.99423586,5.811646829,,29.57094777,1.372976327
11.52,240.180101,48.92701105,,11.52,214.2030941,43.63524334,,25.97700688,5.291767707,,26.5105204,1.369836327
11.7,240.0252864,49.68093413,,11.7,214.0650237,44.30762484,,25.96026269,5.373309288,,26.5105204,1.366696327
11.88,233.1300189,49.01762577,,11.88,213.9248427,44.97956948,,19.20517616,4.038056284,,19.62510356,1.363556327
12.06,230.0785794,49.13091999,,12.06,213.7825525,45.65107065,,16.29602691,3.479849348,,16.66342836,1.360416327
12.24,226.2993409,49.06738518,,12.24,202.3574731,43.87618645,,23.94186782,5.191198725,,24.49819542,1.357276327
12.42,224.5130853,49.41869936,,12.42,199.0686237,43.81799151,,25.44446161,5.600707846,,26.05357087,1.354136327
12.6,224.3568041,50.12342566,,12.6,198.9300541,44.44284995,,25.42674998,5.680575714,,26.05357087,1.350996327
12.78,222.1776491,50.36955665,,12.78,198.7895231,45.0672702,,23.38812602,5.30228645,,23.98163214,1.347856327
12.96,221.6166289,50.9745342,,12.96,189.5515214,43.59916744,,32.06510748,7.375366759,,32.90238825,1.344716327
13.14,221.0547049,51.57664962,,13.14,188.7616689,44.04201423,,32.29303597,7.534635384,,33.16038152,1.341576327
13.32,216.2120826,51.16315718,,13.32,185.2247829,43.83050459,,30.98729974,7.332652588,,31.84306109,1.338436327
13.5,216.0503647,51.84180978,,13.5,183.2653858,43.97497445,,32.78497894,7.866835328,,33.71560384,1.335296327
13.68,213.9720233,52.05420148,,13.68,181.490791,44.15230578,,32.48123232,7.901895701,,33.4285867,1.332156327
13.86,213.8075186,52.72581591,,13.86,176.1443004,43.43791097,,37.6632182,9.287904947,,38.79153495,1.329016327
14.04,210.957972,52.72634427,,14.04,175.6778559,43.90851421,,35.28011612,8.817830069,,36.36537805,1.325876327
14.22,209.2940938,53.00926609,,14.22,174.2352008,44.12967396,,35.05889299,8.879592124,,36.16591121,1.322736327
