Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
0,246.7802666,0,,0,222.7386361,0,,24.04163056,0,,24.04163056,1.570796327
0.18,246.7790501,0.774888764,,0.18,222.737538,0.699398168,,24.04151204,0.075490596,,24.04163056,1.567656327
0.36,246.7754003,1.549769888,,0.36,222.7342439,1.39878944,,24.04115648,0.150980448,,24.04163056,1.564516327
0.54,246.7693175,2.324635731,,0.54,222.7287536,2.098166921,,24.04056388,0.226468811,,24.04163056,1.561376327
0.72,246.7608017,3.099478655,,0.72,222.7210674,2.797523714,,24.03973426,0.301954941,,24.04163056,1.558236327
0.9,246.7498528,3.874291019,,0.9,222.7111852,3.496852926,,24.03866761,0.377438094,,24.04163056,1.555096327
1.08,246.7364711,4.649065184,,1.08,252.700736,4.761445231,,-5.964264851,-0.112380046,,5.965323502,-1.589636327
1.26,246.7206567,5.423793512,,1.26,252.6845393,5.554900765,,-5.963882575,-0.131107253,,5.965323502,-1.592776327
1.44,246.7024098,6.198468363,,1.44,252.6658513,6.34830153,,-5.963441499,-0.149833167,,5.965323502,-1.595916327
1.62,246.6817304,6.973082099,,1.62,252.6446721,7.141639704,,-5.962941625,-0.168557604,,5.965323502,-1.599056327
1.8,246.6586189,7.747627084,,1.8,252.6210019,7.934907463,,-5.962382959,-0.187280379,,5.965323502,-1.602196327
1.98,246.6330754,8.52209568,,1.98,240.5180464,8.310798544,,6.115029042,0.211297136,,6.118678507,1.536256327
2.16,246.6051002,9.296480252,,2.16,236.0144893,8.89723707,,10.59061089,0.399243182,,10.59813352,1.533116327
2.34,246.5746936,10.07077316,,2.34,231.630095,9.460395594,,14.9445986,0.610377571,,14.95705813,1.529976327
2.52,246.5418559,10.84496678,,2.52,231.5992475,10.18766626,,14.94260834,0.657300524,,14.95705813,1.526836327
2.7,246.5065873,11.61905348,,2.7,226.3033801,10.66677813,,20.20320723,0.952275344,,20.22563746,1.523696327
2.88,246.4688883,12.39302561,,2.88,178.8550294,8.993244441,,67.6138589,3.399781167,,67.69927937,1.520556327
3.06,246.4287593,13.16687555,,3.06,178.825909,9.554803976,,67.60285028,3.612071575,,67.69927937,1.517416327
3.24,246.3862005,13.94059567,,3.24,176.2344217,9.971389678,,70.1517788,3.969205995,,70.26397843,1.514276327
3.42,281.6121256,16.82094116,,3.42,175.3557113,10.47415162,,106.2564143,6.34678954,,106.4457952,1.511136327
3.6,281.5579196,17.70511886,,3.6,175.321958,11.02471602,,106.2359616,6.680402844,,106.4457952,1.507996327
3.78,281.5009376,18.58912199,,3.78,173.604649,11.46411101,,107.8962886,7.125010979,,108.1312854,1.504856327
3.96,281.4411801,19.47294184,,3.96,173.5677959,12.0091722,,107.8733842,7.463769644,,108.1312854,1.501716327
4.14,241.9235577,17.50215876,,4.14,171.8625627,12.43353845,,70.06099501,5.068620308,,70.24410249,1.498576327
4.32,235.3527134,17.76983229,,4.32,171.4084069,12.9418463,,63.94430657,4.827985991,,64.12631123,1.495436327
4.5,235.295756,18.50875099,,4.5,171.3669245,13.48000401,,63.92883149,5.028746983,,64.12631123,1.492296327
4.68,235.2364787,19.24748721,,4.68,170.4984366,13.95049992,,64.73804208,5.296987286,,64.95438527,1.489156327
4.86,235.174882,19.98603365,,4.86,170.4537916,14.48579536,,64.72109042,5.500238291,,64.95438527,1.486016327
5.04,235.1109666,20.72438304,,5.04,162.4864894,14.32273575,,72.62447719,6.401647295,,72.90607502,1.482876327
5.22,235.0447331,21.4625281,,5.22,162.4407151,14.83287188,,72.60401802,6.62965622,,72.90607502,1.479736327
5.4,233.9510572,22.10360812,,5.4,162.3933391,15.34286176,,71.55771809,6.760746361,,71.87638493,1.476596327
5.58,207.9614226,20.30714266,,5.58,159.2477759,15.55032305,,48.71364673,4.756819613,,48.94534412,1.473456327
5.76,207.5145538,20.92151929,,5.76,158.4460479,15.97445571,,49.06850587,4.947063585,,49.31725567,1.470316327
5.94,202.3492054,21.04279151,,5.94,157.6480153,16.39420481,,44.70119014,4.648586697,,44.94224914,1.467176327
6.12,200.6069446,21.49853748,,6.12,156.4150939,16.76260892,,44.19185067,4.735928558,,44.44489492,1.464036327
6.3,199.2906043,21.99064318,,6.3,156.3616883,17.25366887,,42.92891593,4.736974309,,43.18947497,1.460896327
6.48,196.0199123,22.25295478,,6.48,156.3067411,17.74455871,,39.7131712,4.508396074,,39.96825743,1.457756327
6.66,194.3278752,22.67914394,,6.66,153.6878602,17.93622814,,40.640015,4.742915801,,40.9158413,1.454616327
6.84,193.0823947,23.14855309,,6.84,152.9104035,18.33235288,,40.17199121,4.816200217,,40.45966711,1.451476327
7.02,193.0087565,23.7547167,,7.02,152.1372064,18.72441594,,40.87155011,5.030300756,,41.17994092,1.448336327
7.2,190.6132516,24.06771667,,7.2,152.0776619,19.20203368,,38.53558973,4.865682986,,38.84155696,1.445196327
7.38,189.7712516,24.56702566,,7.38,150.2541631,19.45130176,,39.51708846,5.115723895,,39.84684318,1.442056327
7.56,187.2687433,24.84118452,,7.56,149.8440722,19.87680475,,37.42467113,4.964379772,,37.75249761,1.438916327
7.74,185.2962792,25.17185418,,7.74,148.744855,20.2064705,,36.55142423,4.96538368,,36.88714747,1.435776327
7.92,184.0926684,25.5973195,,7.92,148.6806735,20.67342896,,35.41199494,4.92389054,,35.75267939,1.432636327
8.1,184.0113854,26.17524334,,8.1,147.2545555,20.94665944,,36.7568299,5.228583899,,37.12684519,1.429496327
8.28,180.5401365,26.2600925,,8.28,147.1880572,21.40893472,,33.35207927,4.851157775,,33.70304027,1.426356327
8.46,179.0051718,26.61105937,,8.46,145.784001,21.67237219,,33.22117076,4.938687182,,33.58625936,1.423216327
8.64,177.9337469,27.02310854,,8.64,145.385048,22.07988087,,32.54869882,4.94322767,,32.92192726,1.420076327
8.82,175.9869932,27.29306812,,8.82,145.3150006,22.53628032,,30.67199256,4.756787801,,31.03865586,1.416936327
9,175.9004255,27.84553182,,9,144.2629348,22.8372281,,31.63749074,5.008303718,,32.03145214,1.413796327
9.18,173.6180813,28.04333246,,9.18,143.8668494,23.23782094,,29.75123199,4.805511519,,30.13683371,1.410656327
9.36,171.8141848,28.30581606,,9.36,143.7931735,23.68944755,,28.02101135,4.616368514,,28.39873122,1.407516327
9.54,170.2512959,28.59771991,,9.54,142.4401778,23.9261868,,27.81111808,4.671533107,,28.20073599,1.404376327
