Degree,XCoordinate,YCoordinate
0.0,294.15642097360376,0.0
0.18,294.15497084247113,0.9236496440526981
0.36,294.1506204633709,1.8472901812968483
0.54,292.0221436541058,2.750929962910228
0.72,291.30501513103604,3.658983398003817
0.9,291.29208986776246,4.573661604382157
1.08,338.3977115129854,6.376167300265951
1.26,338.3760221488951,7.438702935129943
1.44,338.350996535318,8.501165227418735
1.62,336.3108033931345,9.506674202776953
1.8,336.2792945415545,10.562641524152506
1.98,336.2593221851938,11.619017896852808
2.16,335.80561736830276,12.659147307765021
2.34,335.76421225790347,13.713512806580145
2.52,335.71949664939694,14.767743095755495
2.7,335.6714709836609,15.821827781010656
2.88,335.6201357342088,16.87575646950079
3.06,335.56549140718533,17.929518769919156
3.24,335.5075385413612,18.9831042925995
3.42,335.03163596839363,20.01173573202568
3.6,334.96714758385076,21.063634686478093
3.78,334.89935655993315,22.115325962088583
3.96,334.82826356503256,23.166799189610376
4.14,334.75386930009705,24.21804400194655
4.32,334.67617449862354,25.269050034252277
4.5,334.59517992665116,26.31980692403698
4.68,334.51088638275337,27.37030431126656
4.86,334.42329469803,28.420531838465475
5.04,334.3324057360994,29.47047915081891
5.22,334.23822039308965,30.52013589627484
5.4,334.14073959762976,31.569491725646152
5.58,334.0399643108406,32.61853629271257
5.76,333.93589552632534,33.66725925432281
5.94,333.82853427015976,34.71565027049644
6.12,333.7178816008821,35.76369900452589
6.3,333.6039386094823,36.811395123078356
6.48,333.486706419392,37.85872829629767
6.66,333.36618618647265,38.90568819790617
6.84,333.2423790990046,39.952264505306495
7.02,333.1152863776751,40.99844689968335
7.2,296.7314943134962,37.46670009238708
7.38,258.10061361607586,33.41267101472792
7.56,257.9944256181346,34.222940892070476
7.74,256.72371555739454,34.875022634248175
7.92,255.8420861067662,35.5737774660593
8.1,254.9614045525057,36.26773849139446
8.28,254.84626713307958,37.06813719357518
8.46,252.82346595533068,37.5849490576626
8.64,252.70420304112406,38.37862815010034
8.82,251.07272842119244,38.937792821432616
9.0,241.29296595636973,38.19735479469149
9.18,240.0113002093525,38.767371656451175
9.36,239.88838765564964,39.520814785453325
9.54,236.70404924516265,39.76002688140788
9.72,236.1539950668452,40.43048289721252
9.9,232.959179081677,40.63685783773742
10.08,231.3378772701579,41.10295861375472
10.26,229.66552035052678,41.55015558079696
10.44,229.5339208722439,42.27109929586819
10.62,229.4000582831742,42.99162623515125
10.8,222.14362809427013,42.354163476348596
10.98,222.00954111673775,43.05148452495219
11.16,217.55059715469807,42.89604889692771
11.34,214.3390525993269,42.9624316213944
11.52,214.20309413792228,43.635243344576516
11.7,214.06502372142597,44.307624842066836
11.88,213.92484271115592,44.9795694844582
12.06,213.7825524892397,45.65107064665065
12.24,202.35747312365746,43.87618645318807
12.42,199.0686237283081,43.81799151319725
12.6,198.9300540933562,44.44284995078187
12.78,198.7895230892545,45.067270200003136
12.96,189.55152140072752,43.599167438567015
13.14,188.7616689077251,44.04201423455834
13.32,185.22478290084013,43.83050459063841
13.5,183.26538577193327,43.974974449844616
13.68,181.49079102731582,44.152305779115416
13.86,176.14430038341658,43.437910966152224
14.04,175.67785588103345,43.908514205214225
14.22,174.23520083311118,44.1296739618451
14.4,165.75582108002988,42.53635047131402
14.58,163.39607970016166,42.4780861772877
14.76,161.24464775470463,42.45974843458088
14.94,156.8709105722057,41.835201480496096
15.12,154.28954966397407,41.66615170400802
15.3,153.48452013725955,41.966281046833736
15.48,149.4802156657298,41.37630309561555
15.66,147.6009901163396,41.355544368434536
15.84,147.4704062776481,41.81880684140504
16.02,147.3383684409335,42.2816569980064
16.2,147.20487790803503,42.74409027472493
16.38,147.06993599511483,43.20610211215726
16.56,146.9335440326451,43.667687955055214
16.74,146.79570336539493,44.12884325237077
16.92,146.65641535241707,44.58956345730088
17.1,146.51568136703443,45.04984402733235
17.28,146.37350279682673,45.50968042428658
17.46,146.22988104361661,45.969068114364376
17.64,146.08481752345594,46.428002568190585
17.82,145.93831366661186,46.886479260858785
18.0,145.79037091755262,47.34449367197589
18.18,145.64099073493327,47.80204128570673
18.36,145.49017459158154,48.25911759081855
18.54,145.33792397448303,48.715718080725516
18.72,145.18424038476667,49.17183825353314
18.9,145.02912533768992,49.62747361208265
19.08,144.8725803626239,50.082619663995374
19.26,144.7146070030381,50.53727192171698
19.44,144.55520681648548,50.991425902561744
19.62,144.39438137458674,51.44507712875676
19.8,144.23213226301513,51.89822112748606
19.98,144.0684610814807,52.35085343093477
20.16,143.90336944371447,52.80296957633309
20.34,143.73685897745264,53.254565106000314
20.52,143.56893132442045,53.705635567388846
20.7,143.39958814031598,54.156176513128
20.88,143.228831094794,54.60618350106791
21.06,143.05666187144925,55.055652094323364
21.24,142.88308216779998,55.50457786131742
21.42,142.7080936952713,55.952956375825245
21.6,142.53169817917808,56.400783217017654
21.78,117.77614792591231,47.03309805941935
21.96,117.62788362831269,47.40268269262259
22.14,116.42556563122783,47.34364794544246
22.32,115.92862055824965,47.56632144134521
22.5,115.77869104991507,47.930102219464494
22.68,115.62762001093614,48.2934104263362
22.86,95.85444853398411,40.38883545708053
23.04,95.3237308755368,40.518139953625315
23.22,94.79440827627023,40.64505086171979
23.4,93.86798261939575,40.597231091518466
23.58,93.74004477324368,40.89177593653282
23.76,92.22863775236821,40.57764218149085
23.94,92.10076949692825,40.86703958865083
24.12,91.6316547074176,41.003737905796605
24.3,89.50582745462309,40.390265143099825
24.48,89.03339402439963,40.514047956595675
24.66,88.16552100635327,40.45377080501824
24.84,87.64265699522007,40.547478443813745
