Degree,XCoordinate,YCoordinate
19.69,76.14841703,27.23512287
19.8,75.93003759,27.32147004
19.91,75.87747096,27.46712096
20.02,75.49398708,27.49226402
20.14,75.27151088,27.58984686
20.25,72.11846696,26.5912277
20.36,72.0673086,26.72956599
20.47,71.84605145,26.80444411
20.59,71.27825806,26.76272148
20.7,71.22677218,26.89944718
20.81,71.00599725,26.97186844
20.92,70.78480426,27.04338773
21.04,70.38847763,27.06095989
21.15,70.3364211,27.19597766
21.26,69.94754437,27.20001905
21.37,69.55936456,27.20284548
21.49,69.33282692,27.28172363
21.6,68.77619647,27.21521877
21.71,67.85472323,27.00129383
21.82,67.63412855,27.06396108
21.94,67.23902818,27.0692893
22.05,67.01730388,27.12958374
22.16,66.96512187,27.25813247
22.27,66.91269329,27.38658084
22.39,66.68767767,27.4576094
22.5,66.46703804,27.5160472
22.61,66.41411547,27.64353932
22.72,66.19296329,27.70063076
22.84,66.13483164,27.83913391
22.95,65.91316138,27.89483508
23.06,65.52654528,27.87959583
23.17,65.47292683,28.00528258
23.29,65.24732571,28.07050327
23.4,65.19334145,28.19565388
23.51,65.30567376,28.39311492
23.62,65.25107033,28.51837691
23.74,65.19122893,28.65490656
23.85,65.13612336,28.77994845
23.96,65.41148052,29.05176214
24.07,65.01878112,29.0268514
24.19,64.95787583,29.16289368
24.3,64.90179592,29.28748686
24.41,65.01259797,29.48777326
24.52,65.1224416,29.68839729
24.64,65.22611455,29.90073546
24.75,65.16861831,30.025842
24.86,65.60956593,30.38176305
24.97,65.55114594,30.5076045
25.09,65.81826893,30.7997101
25.2,65.75904657,30.92595126
25.31,65.69958207,31.05207855
25.42,65.97257688,31.33612027
25.54,66.23753735,31.63208254
25.65,66.17671699,31.7591267
25.76,66.60163545,32.12043206
25.87,66.86968033,32.40801114
25.99,66.96581908,32.62788799
26.1,67.06665788,32.83641374
26.21,67.3331557,33.12722159
26.32,67.26946432,33.25636536
26.44,67.52707498,33.55980946
26.55,67.62746351,33.77167717
26.66,67.56253495,33.90138451
26.77,67.66155031,34.11375005
26.89,67.75361266,34.33823872
27,67.85066546,34.55122569
27.11,67.78424062,34.68135989
27.22,67.71756619,34.81136638
27.34,68.13573078,35.20684863
27.45,68.23082874,35.42203659
27.56,68.16273221,35.55289868
27.67,68.0943847,35.68362985
27.79,68.01953782,35.82609581
27.9,68.27755172,36.1295253
28.01,68.5330944,36.43324909
28.12,68.46305691,36.56468933
28.24,68.87558914,36.97052727
28.35,68.96665693,37.19005554
28.46,68.89516642,37.32232634
28.57,70.08053267,38.13859298
28.69,70.32053609,38.46022453
28.8,70.40589017,38.68260543
28.91,70.65230667,38.99467779
29.02,70.8963353,39.30703467
29.14,70.8138973,39.4553581
29.25,70.89844728,39.68093799
29.36,71.30066799,40.08592534
29.47,71.22361634,40.22266951
29.59,71.13926089,40.37167605
29.7,71.0616612,40.50810997
29.81,70.98379986,40.64439474
29.92,71.22465693,40.96398717
30.04,71.13874966,41.11299425
30.15,71.05972747,41.24942583
30.26,70.98044363,41.38570553
30.37,71.05913126,41.61449904
30.49,71.12954999,41.85594882
30.6,71.04910217,41.99236138
30.71,70.96839274,42.12861932
30.82,70.88742199,42.26472213
30.94,70.79879259,42.41302042
31.05,70.71727642,42.54879727
31.16,70.63549986,42.68441745
31.27,71.01548194,43.10028606
31.39,70.92510314,43.2488506
31.5,70.84198287,43.38486828
31.61,70.75860176,43.52072622
31.72,70.6749601,43.6564239
31.84,70.58341787,43.80427439
31.95,70.65485538,44.03662958
32.06,70.57022395,44.17212724
32.17,70.48533267,44.30746225
32.29,70.39242802,44.45491436
32.4,70.15213768,44.49169486
32.51,70.06663396,44.62622702
32.62,69.98087225,44.76059487
32.74,70.34881977,45.20372651
32.85,70.41502115,45.43740893
32.96,70.32770222,45.57244379
33.07,70.24012434,45.70731085
33.19,70.14428988,45.8542466
33.3,70.05617159,45.98876119
33.41,69.96779534,46.12310645
33.52,70.03239362,46.35871559
33.64,70.0878814,46.60674716
33.75,69.99831925,46.74115212
33.86,69.90849936,46.87538499
33.97,69.97018982,47.11163201
34.09,69.87141623,47.25799961
34.2,69.93163376,47.49456039
34.31,69.84036828,47.6286639
34.42,69.74884565,47.76259203
34.54,69.64870987,47.90849486
34.65,69.55665062,48.04205471
34.76,69.46433525,48.17543767
34.87,69.37176411,48.30864323
34.99,69.2704861,48.45375551
35.1,69.17738125,48.58658858
35.21,69.08402168,48.71924276
35.32,68.99040774,48.85171754
35.44,68.88799372,48.99603032
35.55,68.79384901,49.12812844
35.66,68.699451,49.26004567
35.77,68.60480002,49.39178151
35.89,68.50125632,49.5352859
36,68.40607755,49.66664092
36.11,68.31064691,49.79781306
36.22,68.21496473,49.92880184
36.34,68.11029772,50.071489
36.45,68.01409076,50.20209283
36.56,67.91763336,50.33251181
36.67,67.82092588,50.46274546
36.79,67.56889994,50.49531755
36.9,67.47188069,50.62488172
37.01,66.93524223,50.42327519
37.12,66.8383624,50.55162357
37.24,66.73239463,50.69142768
37.35,66.63500062,50.81938632
37.46,66.53736124,50.94715785
37.57,66.43947687,51.07474177
37.69,66.33241491,51.21370974
37.8,66.23401943,51.34089991
37.91,66.13538007,51.46790103
38.02,66.03649719,51.59471264
38.14,66.07291639,51.84627649
38.25,65.97330756,51.97296755
38.36,66.01727346,52.21321294
38.47,66.06024759,52.45357015
38.59,66.2370084,52.82037534
38.7,66.13553008,52.94737948
38.81,66.31993186,53.30415841
