Degree,XCoordinate,YCoordinate
0.0,177.36403243047897,0.0
0.11,157.42016628246472,0.3020721787233577
0.22,156.97400126430028,0.6024342914027356
0.34,156.7499143077437,0.9297120602700453
0.45,159.56638411179443,1.2526218452798432
0.56,159.56368669876937,1.558809512726223
0.68,159.1962107972793,1.8885094090882912
0.79,159.0074346273854,2.191437857761926
0.9,159.0029367609141,2.4965512354885258
1.01,158.45042763245974,2.792009388232368
1.13,158.26169787439594,3.1200938949702666
1.24,158.07267787505256,3.419821059139374
1.35,158.06582460010097,3.72313848208545
1.46,157.87650781557963,4.021808874609523
1.57,157.68641772275447,4.319760691479292
1.69,157.31119642690788,4.639052927930206
1.8,157.48448843674015,4.946638773105525
1.91,157.8390178397389,5.26096766003362
2.02,157.82863204138386,5.5638333259355806
2.14,157.4523795517969,5.880604289545865
2.25,157.6230271393082,6.189882775485787
2.36,158.15832665784353,6.514883636018662
2.47,158.14553414766235,6.818359711144819
2.59,158.13091455817144,7.149395848341521
2.7,158.1169045407709,7.4528181545471615
2.81,158.4699584087407,7.774249069759466
2.92,159.1832464786732,8.115460995941485
3.04,159.53095490375514,8.468043506582324
3.15,159.6950422145411,8.784085539349318
3.26,160.04369291309305,9.111331337382682
3.37,161.11821201910263,9.482708250678755
3.49,161.46247716115676,9.84217806092404
3.6,161.8089503479724,10.174981766768582
3.71,162.70313292298817,10.544692363670011
3.82,163.22786722876577,10.893271315285071
3.94,164.4778581828209,11.32258072431001
4.05,164.45582860709825,11.638174419529436
4.16,165.16557173231277,12.006966630734576
4.27,166.7805750725192,12.44614177753301
4.39,166.9353938574241,12.809148202230059
4.5,168.72762155222253,13.27239209775823
4.61,169.2501349784857,13.640325378488669
4.72,169.7720355550918,14.010327505593157
4.84,171.56245952522477,14.519727327178565
4.95,171.53428194095093,14.848909690693102
5.06,172.4147459770419,15.258507015392764
5.18,173.28771454764083,15.701422022288693
5.29,174.53587539248377,16.152240329008098
5.4,176.31460456200824,16.658137695312554
5.51,178.10609085335628,17.172276133427093
5.63,179.15470367970255,17.651972961626107
5.74,179.12050168994398,17.995718222476572
5.85,180.36813847692207,18.470732408413095
5.96,182.6845122315596,19.062239918675445
6.08,183.551018726457,19.54115804688055
6.19,184.23705825999446,19.971805886551085
6.3,184.56097696794112,20.365308262805783
6.41,185.07065342237007,20.781078937749655
6.53,187.3878881342001,21.438580035483994
6.64,188.42990774436075,21.924184533334277
6.75,189.4714964315721,22.413954878916336
6.86,189.97418417223136,22.843146632964444
6.98,190.47374125878454,23.307807509107153
7.09,191.15558213949987,23.763629427668942
7.2,192.56510916806988,24.314167291711378
7.31,192.51809848602986,24.683633349312604
