Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,,,,
7.92,120.4987212,16.75484576,,7.92,50.95554171,7.085156039,,69.54317949,9.669689721,,70.21222624,1.432636327,,,
8.1,120.8503725,17.19071839,,8.1,50.93304315,7.245121248,,69.91732935,9.945597142,,70.62115721,1.429496327,,,
8.28,120.795798,17.57010319,,8.28,50.91004242,7.405015024,,69.88575558,10.16508817,,70.62115724,1.426356327,,,
8.46,120.7400324,17.94931476,,8.46,50.88653973,7.564835789,,69.85349267,10.38447897,,70.62115718,1.423216327,,,
8.64,120.6830765,18.32834935,,8.64,50.86253533,7.724581968,,69.82054117,10.60376738,,70.62115725,1.420076327,,,
8.82,120.6249306,18.70720323,,8.82,51.24934448,7.948041072,,69.37558612,10.75916216,,70.20492518,1.416936327,,,
9,120.5655954,19.08587267,,9,51.22413502,8.108924567,,69.34146038,10.9769481,,70.20492516,1.413796327,,,
9.18,120.5050715,19.46435393,,9.18,51.19842052,8.269728112,,69.30665098,11.19462582,,70.20492516,1.410656327,,,
9.36,120.4433595,19.84264327,,9.36,51.17220122,8.43045012,,69.27115828,11.41219315,,70.2049252,1.407516327,,,
9.54,120.3804599,20.22073698,,9.54,51.55897857,8.660546284,,68.82148133,11.5601907,,69.78563105,1.404376327,,,
9.72,120.3163735,20.59863132,,9.72,51.11824927,8.75164319,,69.19812423,11.84698813,,70.20492522,1.401236327,,,
9.9,120.2511007,20.97632256,,9.9,51.09051715,8.912111085,,69.16058355,12.06421148,,70.20492515,1.398096327,,,
10.08,120.1846424,21.35380699,,10.08,51.47510987,9.145840429,,68.70953253,12.20796656,,69.7856311,1.394956327,,,
10.26,120.5207322,21.80412266,,10.26,51.44613822,9.307426921,,69.07459398,12.49669574,,70.19591824,1.391816327,,,
10.44,120.4516733,22.18244964,,10.44,51.41665933,9.468921646,,69.03501397,12.71352799,,70.19591831,1.388676327,,,
10.62,120.3814267,22.56055792,,10.62,51.38667349,9.630323011,,68.99475321,12.93023491,,70.1959183,1.385536327,,,
10.8,120.3099932,22.93844376,,10.8,50.94430623,9.713100902,,69.36568697,13.22534286,,70.6152124,1.382396327,,,
10.98,120.2373735,23.31610344,,10.98,51.32518216,9.952839298,,68.91219134,13.36326414,,70.19591828,1.379256327,,,
11.16,120.1635683,23.69353323,,11.16,51.29367727,10.11395104,,68.86989103,13.57958219,,70.19591828,1.376116327,,,
11.34,120.0885784,24.07072941,,11.34,51.26166665,10.27496306,,68.82691175,13.79576635,,70.19591833,1.372976327,,,
11.52,120.0124044,24.44768826,,11.52,51.22915061,10.43587378,,68.78325379,14.01181448,,70.19591831,1.369836327,,,
11.7,119.9350471,24.82440607,,11.7,51.19612947,10.5966816,,68.73891763,14.22772447,,70.19591826,1.366696327,,,
11.88,120.2593294,25.28557598,,11.88,51.16260356,10.75738494,,69.09672584,14.52819104,,70.60754816,1.363556327,,,
12.06,120.17934,25.663065,,12.06,51.1285732,10.91798222,,69.0507668,14.74508278,,70.60754819,1.360416327,,,
12.24,120.0981656,26.04030099,,12.24,51.9222772,11.25805477,,68.1758884,14.78224622,,69.76006424,1.357276327,,,
12.42,120.0158072,26.41728024,,12.42,51.886671,11.42103495,,68.1291362,14.99624529,,69.76006431,1.354136327,,,
12.6,119.9322654,26.79399902,,12.6,51.85055322,11.58390253,,68.08171218,15.21009649,,69.76006428,1.350996327,,,
12.78,119.8475411,27.17045363,,12.78,51.81392421,11.74665589,,68.03361689,15.42379774,,69.76006425,1.347856327,,,
12.96,119.7616352,27.54664035,,12.96,51.77678434,11.90929344,,67.98485086,15.63734691,,69.76006425,1.344716327,,,
13.14,120.0767062,28.0163872,,13.14,51.73913397,12.07181356,,68.33757223,15.94457364,,70.17302336,1.341576327,,,
13.32,119.988143,28.39328933,,13.32,51.70097347,12.23421466,,68.28716953,16.15907467,,70.17302343,1.338436327,,,
13.5,119.8983967,28.7699115,,13.5,51.66230323,12.39649514,,68.23609347,16.37341636,,70.17302342,1.335296327,,,
13.68,122.1796085,29.7233342,,13.68,51.62312361,12.5586534,,70.55648489,17.1646808,,72.61435001,1.332156327,,,
13.86,122.0856751,30.10683101,,13.86,51.58343501,12.72068783,,70.50224009,17.38614318,,72.61435004,1.329016327,,,
14.04,121.9905379,30.49003098,,14.04,51.54323782,12.88259684,,70.44730008,17.60743414,,72.61435,1.325876327,,,
14.22,121.894198,30.87293033,,14.22,51.50253244,13.04437883,,70.39166556,17.8285515,,72.61435002,1.322736327,,,
14.4,121.7966562,31.25552528,,14.4,51.46131926,13.20603221,,70.33533694,18.04949307,,72.61434998,1.319596327,,,
14.58,122.0911021,31.74002929,,14.58,51.41959869,13.36755538,,70.67150341,18.37247391,,73.02060799,1.316456327,,,
14.76,121.9908367,32.12323825,,14.76,51.37737115,13.52894676,,70.61346555,18.59429149,,73.020608,1.313316327,,,
14.94,122.285737,32.61183623,,14.94,52.8637831,14.09800586,,69.4219539,18.51383037,,71.84824005,1.310176327,,,
15.12,122.1827331,32.99565205,,15.12,52.81925483,14.26392837,,69.36347827,18.73172368,,71.84823999,1.307036327,,,
15.3,122.4754754,33.48767822,,15.3,53.17524692,14.53936433,,69.30022848,18.94831389,,71.84399952,1.303896327,,,
15.48,122.7600031,33.9801162,,15.48,53.12933125,14.70626265,,69.63067185,19.27385355,,72.24895773,1.300756327,,,
15.66,122.6527006,34.36541446,,15.66,53.08289174,14.87301598,,69.56980886,19.49239848,,72.2489578,1.297616327,,,
15.84,122.5441887,34.75037389,,15.84,53.03592886,15.03962267,,69.50825984,19.71075122,,72.24895778,1.294476327,,,
16.02,122.4344686,35.1349907,,16.02,53.39085241,15.32156038,,69.04361619,19.81343032,,71.83030668,1.291336327,,,
16.2,122.3235413,35.51926109,,16.2,53.34247958,15.48913185,,68.98106172,20.03012924,,71.83030665,1.288196327,,,
16.38,122.211408,35.90318128,,16.38,53.29358082,15.6565506,,68.91782718,20.24663068,,71.83030668,1.285056327,,,
16.56,122.4925192,36.40397527,,16.56,53.24415661,15.82381499,,69.24836259,20.58016028,,72.24180728,1.281916327,,,
16.74,122.377607,36.78842169,,16.74,53.19420743,15.99092336,,69.18339957,20.79749833,,72.24180724,1.278776327,,,
16.92,122.6489545,37.29031101,,16.92,53.52418466,16.27354673,,69.12476984,21.01676428,,72.24913969,1.275636327,,,
17.1,122.5312585,37.67524426,,17.1,53.47282194,16.44153217,,69.05843656,21.23371209,,72.24913971,1.272496327,,,
17.28,122.8052807,38.18197264,,17.28,53.42093201,16.6093555,,69.38434869,21.57261714,,72.66061969,1.269356327,,,
17.46,122.6847841,38.56739236,,17.46,53.36851536,16.77701507,,69.31626874,21.79037729,,72.6606197,1.266216327,,,
17.64,122.5630779,38.95243182,,17.64,53.31557253,16.94450923,,69.24750537,22.00792259,,72.66061971,1.263076327,,,
17.82,123.2174908,39.58682392,,17.82,53.64365272,17.23441876,,69.57383808,22.35240516,,73.07632285,1.259936327,,,
18,123.0925809,39.97353105,,18,53.58927228,17.40277459,,69.50330862,22.57075646,,73.07632282,1.256796327,,,
18.18,122.9664574,40.35984406,,18.18,53.53436347,17.57095883,,69.43209393,22.78888523,,73.07632282,1.253656327,,,
