Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
8.46,122.3712571,18.19181399,,8.46,55.33530886,8.226193548,,67.03594824,9.965620442,,67.77264896,1.423216327
8.64,122.3135317,18.57596942,,8.64,55.30920586,8.399905579,,67.00432584,10.17606384,,67.77264903,1.420076327
8.82,122.2546002,18.95994171,,8.82,55.67857997,8.634952211,,66.57602023,10.3249895,,67.37189234,1.416936327
9,122.1944634,19.34372705,,9,55.65119178,8.809740096,,66.54327162,10.53398695,,67.37189235,1.413796327
9.18,122.1331218,19.72732168,,9.18,55.62325489,8.984441121,,66.50986691,10.74288056,,67.37189235,1.410656327
9.36,122.070576,20.1107218,,9.36,55.59476958,9.159053562,,66.47580642,10.95166824,,67.37189233,1.407516327
9.54,122.0068267,20.49392363,,9.54,55.56573613,9.3335757,,66.44109057,11.16034793,,67.37189237,1.404376327
9.72,121.9418744,20.87692341,,9.72,55.53615482,9.508005812,,66.40571958,11.3689176,,67.37189236,1.401236327
9.9,121.8757198,21.25971735,,9.9,56.31029339,9.822636722,,65.56542641,11.43708063,,66.55548027,1.398096327
10.08,121.8083636,21.64230167,,10.08,56.27917276,9.999402329,,65.52919084,11.64289934,,66.55548029,1.394956327
10.26,121.7398064,22.02467261,,10.26,56.24749724,10.17606935,,65.49230916,11.84860326,,66.5554803,1.391816327
10.44,121.6700489,22.4068264,,10.44,55.8210317,10.2800334,,65.8490172,12.126793,,66.95634529,1.388676327
10.62,121.5990918,22.78875927,,10.62,56.18248279,10.52910064,,65.41660901,12.25965863,,66.55548035,1.385536327
10.8,121.9219702,23.24578517,,10.8,56.1491445,10.70546144,,65.7728257,12.54032373,,66.95763078,1.382396327
10.98,121.8483775,23.62850493,,10.98,55.72171856,10.80540364,,66.12665894,12.82310129,,67.35849575,1.379256327
11.16,121.7735834,24.01099172,,11.16,55.68751495,10.98031628,,66.08606845,13.03067544,,67.35849572,1.376116327
11.34,121.6975887,24.39324178,,11.34,55.65276228,11.15512066,,66.04482642,13.23812112,,67.35849573,1.372976327
11.52,121.6203941,24.77525132,,11.52,56.01025864,11.40983175,,65.61013546,13.36541957,,66.95763075,1.369836327
11.7,121.5420004,25.15701659,,11.7,55.97415571,11.58564743,,65.56784469,13.57136916,,66.95763077,1.366696327
11.88,121.4624083,25.53853383,,11.88,55.93750089,11.76134887,,65.52490741,13.77718496,,66.95763076,1.363556327
12.06,121.3816186,25.91979927,,12.06,55.508268,11.85322111,,65.8733506,14.06657816,,67.35849568,1.360416327
12.24,121.2996322,26.30080914,,12.24,55.4707753,12.02745835,,65.8288569,14.27335079,,67.3584957,1.357276327
12.42,121.2164498,26.6815597,,12.42,55.43273568,12.201577,,65.78371412,14.4799827,,67.3584957,1.354136327
12.6,121.1320723,27.0620472,,12.6,55.39414952,12.37557536,,65.73792278,14.68647184,,67.35849573,1.350996327
12.78,121.0465004,27.44226787,,12.78,55.74596142,12.63808206,,65.30053898,14.80418581,,66.9576307,1.347856327
12.96,120.9597351,27.82221797,,12.96,55.7060031,12.81306179,,65.253732,15.00915618,,66.9576307,1.344716327
13.14,120.8717772,28.20189376,,13.14,55.66549553,12.98791519,,65.20628167,15.21397857,,66.95763073,1.341576327
13.32,120.7826275,28.58129148,,13.32,55.62443912,13.16264053,,65.15818838,15.41865095,,66.95763071,1.338436327
13.5,120.692287,28.96040741,,13.5,55.9868113,13.43417136,,64.7054757,15.52623605,,66.54218655,1.335296327
13.68,121.4070072,29.53537903,,13.68,55.94435207,13.60990343,,65.46265513,15.9254756,,67.37195255,1.332156327
13.86,121.3136677,29.9164508,,13.86,55.90134125,13.78550131,,65.41232645,16.13094949,,67.3719525,1.329016327
